date,actual_target,prediction,prediction_correct,actual_return_pct,strategy_return_pct,strategy_return_after_costs_pct,ml_balance_before,ml_balance_after,buy_hold_balance_before,buy_hold_balance_after,long_only_position,long_only_prediction_correct,long_only_strategy_return_pct,long_only_balance_before,long_only_balance_after
2025-07-09,1,1,True,4.3107833163784415,4.3107833163784415,4.210783316378441,11816.722410558446,12314.298986364993,9044.278320874071,9434.157561817143,LONG,True,4.210783316378441,10435.412336054847,10874.824937696741
2025-07-10,-1,1,False,-0.719249055223703,-0.719249055223703,-0.8192490552237031,12314.298986364993,12213.414208261776,9434.157561817143,9366.302472685458,LONG,False,-0.8192490552237031,10874.824937696741,10785.73303713743
2025-07-11,-1,1,False,-1.3506876227897813,-1.3506876227897813,-1.4506876227897814,12213.414208261776,12036.235720022474,9366.302472685458,9239.792984473843,LONG,False,-1.4506876227897814,10785.73303713743,10629.26574294053
2025-07-12,1,1,True,0.3174010455563758,0.3174010455563758,0.21740104555637582,12036.235720022474,12062.402622323434,9239.792984473843,9269.120184013807,LONG,True,0.21740104555637582,10629.26574294053,10652.37387780065
2025-07-13,1,1,True,0.6762206092189471,0.6762206092189471,0.5762206092189471,12062.402622323434,12131.90867220023,9269.120184013807,9331.799884991382,LONG,True,0.5762206092189471,10652.37387780065,10713.755051455593
2025-07-14,1,1,True,1.0290855311806624,1.0290855311806624,0.9290855311806623,12131.90867220023,12244.624480329696,9331.799884991382,9427.832087406561,LONG,True,0.9290855311806623,10713.755051455593,10813.294999484806
2025-07-15,1,1,True,5.953034461726148,5.953034461726148,5.853034461726148,12244.624480329696,12961.30657087235,9427.832087406561,9989.07418056355,LONG,True,5.853034461726148,10813.294999484806,11446.200882252762
2025-07-16,1,1,True,1.197397962120772,1.197397962120772,1.097397962120772,12961.30657087235,13103.543685045328,9989.07418056355,10108.68315123635,LONG,True,1.097397962120772,11446.200882252762,11571.811257474852
2025-07-17,1,1,True,0.9044883099152525,0.9044883099152525,0.8044883099152526,13103.543685045328,13208.960162176158,10108.68315123635,10200.115008625655,LONG,True,0.8044883099152526,11571.811257474852,11664.905126286696
2025-07-18,-1,1,False,-0.1747660390122862,-0.1747660390122862,-0.2747660390122862,13208.960162176158,13172.666425543835,10200.115008625655,10182.288671650382,LONG,False,-0.2747660390122862,11664.905126286696,11632.853928516657
2025-07-19,1,1,True,2.5300728525442073,2.5300728525442073,2.4300728525442072,13172.666425543835,13492.77181630718,10182.288671650382,10439.907993099492,LONG,True,2.4300728525442072,11632.853928516657,11915.54075380966
2025-07-20,1,1,True,7.953731754337645,7.953731754337645,7.853731754337645,13492.77181630718,14552.457920984816,10439.907993099492,11270.27027027028,LONG,True,7.853731754337645,11915.54075380966,12851.355361692651
2025-07-21,1,-1,False,4.954334404816563,-4.954334404816563,-5.054334404816563,14552.457920984816,13816.928033538028,11270.27027027028,11828.637147786094,CASH,False,0.0,12851.355361692651,12851.355361692651
2025-07-22,-1,-1,True,-7.856101118133207,7.856101118133207,7.756101118133207,13816.928033538028,14888.582943238931,11828.637147786094,10899.36745255895,CASH,True,0.0,12851.355361692651,12851.355361692651
2025-07-23,-1,1,False,-3.656220322886982,-3.656220322886982,-3.756220322886982,14888.582943238931,14329.334964935106,10899.36745255895,10500.862564692361,LONG,False,-3.756220322886982,12851.355361692651,12368.630139830326
2025-07-24,1,1,True,2.2835551174634316,2.2835551174634316,2.1835551174634316,14329.334964935106,14642.223891860422,10500.862564692361,10740.655549166195,LONG,True,2.1835551174634316,12368.630139830326,12638.705996208713
2025-07-25,-1,1,False,-1.0011778563015383,-1.0011778563015383,-1.1011778563015384,14642.223891860422,14480.986964693162,10740.655549166195,10633.12248418632,LONG,False,-1.1011778563015384,12638.705996208713,12499.531364455408
2025-07-26,1,-1,False,2.06586988264561,-2.06586988264561,-2.16586988264561,14480.986964693162,14167.347629315036,10633.12248418632,10852.788959171945,CASH,False,0.0,12499.531364455408,12499.531364455408
2025-07-27,-1,-1,True,-3.279817729030887,3.279817729030887,3.179817729030887,14167.347629315036,14617.843460965432,10852.788959171945,10496.837262794717,CASH,True,0.0,12499.531364455408,12499.531364455408
2025-07-28,-1,-1,True,-0.6573901610605781,0.6573901610605781,0.5573901610605781,14617.843460965432,14699.321882176091,10496.837262794717,10427.832087406565,CASH,True,0.0,12499.531364455408,12499.531364455408
2025-07-29,-1,1,False,-2.012793647292377,-2.012793647292377,-2.112793647292377,14699.321882176091,14388.755543254416,10427.832087406565,10217.94134560093,LONG,False,-2.112793647292377,12499.531364455408,12235.442059845876
2025-07-30,-1,1,False,-6.162417693736277,-6.162417693736277,-6.262417693736276,14388.755543254416,13487.671570205192,10217.94134560093,9588.269120184023,LONG,False,-6.262417693736276,12235.442059845876,11469.207571383238
