date,actual_target,prediction,prediction_correct,actual_return_pct,strategy_return_pct,strategy_return_after_costs_pct,reasoning_balance_before,reasoning_balance_after,buy_hold_balance_before,buy_hold_balance_after
2025-01-19,-1,1,False,-3.3281455764396006,-3.3281455764396006,-3.3281455764396006,15583.732828811051,15065.083514024811,13821.842250413676,13361.831218974074
2025-01-20,1,1,True,3.368421052631576,3.368421052631576,3.368421052631576,15065.083514024811,15572.538958707752,13361.831218974074,13811.913954771095
2025-01-21,1,1,True,2.7275268559562305,2.7275268559562305,2.7275268559562305,15572.538958707752,15997.284140960752,13811.913954771095,14188.637617209042
2025-01-22,-1,-1,True,-1.4694448763800327,1.4694448763800327,1.4694448763800327,15997.284140960752,16232.355413130055,14188.637617209042,13980.143408714834
2025-01-23,-1,1,False,-0.0394539572319052,-0.0394539572319052,-0.0394539572319052,16232.355413130055,16225.951106567629,13980.143408714834,13974.6276889134
2025-01-24,1,1,True,1.0696242500789266,1.0696242500789266,1.0696242500789266,16225.951106567629,16399.507814409426,13974.6276889134,14124.103695532263
2025-01-25,-1,1,False,-5.931971726481045,-5.931971726481045,-5.931971726481045,16399.507814409426,15426.693647576609,14124.103695532263,13286.265857694425
2025-01-26,-1,-1,True,-2.4119893723015595,2.4119893723015595,2.4119893723015595,15426.693647576609,15798.783858853676,13286.265857694425,12965.802537231104
2025-01-27,-1,-1,True,-3.3479389118135083,3.3479389118135083,3.3479389118135083,15798.783858853676,16327.71749125755,12965.802537231104,12531.715388858242
2025-01-28,1,-1,False,0.3257042253521192,-0.3257042253521192,-0.3257042253521192,16327.71749125755,16274.537425484967,12531.715388858242,12572.531715388855
2025-01-29,1,-1,False,4.860928314468715,-4.860928314468715,-4.860928314468715,16274.537425484967,15483.44382772076,12572.531715388855,13183.673469387752
2025-01-30,-1,-1,True,-3.087607731570585,3.087607731570585,3.087607731570585,15483.44382772076,15961.511836458856,13183.673469387752,12776.613348041916
2025-01-31,-1,-1,True,-7.705922983940594,7.705922983940594,7.705922983940594,15961.511836458856,17191.493645648938,12776.613348041916,11792.057363485932
2025-02-01,-1,-1,True,-4.990878899854989,4.990878899854989,4.990878899854989,17191.493645648938,18049.500274579543,11792.057363485932,11203.530060672916
2025-02-02,1,-1,False,6.4149271366679805,-6.4149271366679805,-6.4149271366679805,18049.500274579543,16891.637983432578,11203.530060672916,11922.228350799778
2025-02-03,-1,-1,True,-4.191533657182511,4.191533657182511,4.191533657182511,16891.637983432578,17599.656674757578,11922.228350799778,11422.50413678985
2025-02-04,-1,-1,True,-5.35998841083587,5.35998841083587,5.35998841083587,17599.656674757578,18542.996232871486,11422.50413678985,10810.259238830666
2025-02-05,-1,-1,True,-3.173631307719782,3.173631307719782,3.173631307719782,18542.996232871486,19131.482566707196,10810.259238830666,10467.181467181466
2025-02-06,1,-1,False,1.2804974442746309,-1.2804974442746309,-1.2804974442746309,19131.482566707196,18886.504421388665,10467.181467181466,10601.213458356313
2025-02-07,1,-1,False,3.8501560874089513,-3.8501560874089513,-3.8501560874089513,18886.504421388665,18159.34452170981,10601.213458356313,11009.376723662435
2025-02-08,1,-1,False,0.45090180360720644,-0.45090180360720644,-0.45090180360720644,18159.34452170981,18077.46370973817,11009.376723662435,11059.018201875342
2025-02-09,-1,-1,True,-0.0698254364089656,0.0698254364089656,0.0698254364089656,18077.46370973817,18090.086377665168,11059.018201875342,11051.296194153336
2025-02-10,-1,-1,True,-1.1878618486724002,1.1878618486724002,1.1878618486724002,18090.086377665168,18304.971612137335,11051.296194153336,10920.022062879203
2025-02-11,-1,-1,True,-0.6111728457419807,0.6111728457419807,0.6111728457419807,18304.971612137335,18416.8466280515,10920.022062879203,10853.281853281853
2025-02-12,-1,1,False,-1.1739594450373536,-1.1739594450373536,-1.1739594450373536,18416.8466280515,18200.640317583446,10853.281853281853,10725.868725868726
2025-02-13,1,-1,False,2.818060269464162,-2.818060269464162,-2.818060269464162,18200.640317583446,17687.73530400555,10725.868725868726,11028.130170987315
2025-02-14,-1,-1,True,-2.7308192457737412,2.7308192457737412,2.7308192457737412,17687.73530400555,18170.75538382885,11028.130170987315,10726.971869829013
2025-02-15,-1,-1,True,-3.0800082270670437,3.0800082270670437,3.0800082270670437,18170.75538382885,18730.41614457101,10726.971869829013,10396.580253723112
2025-02-16,-1,-1,True,-5.729746936176994,5.729746936176994,5.729746936176994,18730.41614457101,19803.62158974777,10396.580253723112,9800.88251516823
2025-02-17,-1,-1,True,-4.845517474252903,4.845517474252903,4.845517474252903,19803.62158974777,20763.20953441392,9800.88251516823,9325.979040264756
2025-02-18,-1,-1,True,-0.0414005204636969,0.0414005204636969,0.0414005204636969,20763.20953441392,20771.805611226133,9325.979040264756,9322.118036403752
2025-02-19,1,-1,False,4.165433997988299,-4.165433997988299,-4.165433997988299,20771.805611226133,19906.569758300077,9322.118036403752,9710.424710424713
2025-02-20,-1,-1,True,-4.067026412950881,4.067026412950881,4.067026412950881,19906.569758300077,20716.175208282635,9710.424710424713,9315.49917264203
2025-02-21,1,-1,False,1.936171472556114,-1.936171472556114,-1.936171472556114,20716.175208282635,20315.074533695126,9315.49917264203,9495.863210148926
2025-02-22,-1,-1,True,-2.3931226765799285,2.3931226765799285,2.3931226765799285,20315.074533695126,20801.239189125095,9495.863210148926,9268.615554329841
2025-02-23,-1,-1,True,-15.50226136634134,15.50226136634134,15.50226136634134,20801.239189125095,24025.90165566109,9268.615554329841,7831.770546056262
2025-02-24,1,-1,False,1.4930628917529498,-1.4930628917529498,-1.4930628917529498,24025.90165566109,23667.17983363136,7831.770546056262,7948.703805846665
2025-02-25,-1,-1,True,-6.439525362570264,6.439525362570264,6.439525362570264,23667.17983363136,25191.233881623164,7948.703805846665,7436.845008273581
2025-02-26,1,-1,False,2.069272417117851,-2.069272417117851,-2.069272417117851,25191.233881623164,24669.95862737909,7436.845008273581,7590.733590733592
2025-02-27,1,-1,False,7.564307513442814,-7.564307513442814,-7.564307513442814,24669.95862737909,22803.847093365017,7590.733590733592,8164.920022062881
2025-02-28,-1,-1,True,-2.938593528338851,2.938593528338851,2.938593528338851,22803.847093365017,23473.95946826293,8164.920022062881,7924.986210700498
2025-03-01,1,1,True,24.234409799554555,24.234409799554555,24.234409799554555,23473.95946826293,29162.735001983103,7924.986210700498,9845.559845559847
2025-03-02,-1,1,False,-20.43697478991596,-20.43697478991596,-20.43697478991596,29162.735001983103,23202.754201577816,9845.559845559847,7833.425261996692
2025-03-03,1,-1,False,2.0419659202929097,-2.0419659202929097,-2.0419659202929097,23202.754201577816,22728.961868212267,7833.425261996692,7993.38113623828
2025-03-04,1,1,True,0.9315484405189256,0.9315484405189256,0.9315484405189256,22728.961868212267,22940.69315804174,7993.38113623828,8067.843353557642
2025-03-05,-1,1,False,-1.9894715252614992,-1.9894715252614992,-1.9894715252614992,22940.69315804174,22484.294599964887,8067.843353557642,7907.335907335911
2025-03-06,-1,-1,True,-2.894810267857151,2.894810267857151,2.894810267857151,22484.294599964887,23135.172268699924,7907.335907335911,7678.433535576395
