Date	Open	High	Low	Close 	Adj Close 	Volume
Feb 9, 2025	199.59	207.27	194.24	200.50	200.50	3,380,872,965
Feb 8, 2025	192.20	200.83	190.13	199.60	199.60	2,387,525,186
Feb 7, 2025	189.76	203.15	188.48	192.20	192.20	4,593,806,344
Feb 6, 2025	195.99	203.89	188.17	189.77	189.77	3,936,545,265
Feb 5, 2025	207.08	209.32	195.39	195.99	195.99	3,826,498,437
Feb 4, 2025	216.15	220.00	202.85	207.09	207.09	7,328,632,702
Feb 3, 2025	203.12	218.65	180.41	216.15	216.15	15,260,840,772
Feb 2, 2025	213.78	218.38	195.45	203.12	203.12	8,432,593,480
Feb 1, 2025	231.64	233.86	213.44	213.79	213.79	3,546,350,864
Jan 31, 2025	239.02	241.67	228.48	231.64	231.64	4,043,216,055
Jan 30, 2025	227.95	244.33	227.14	239.02	239.02	4,636,567,306
Jan 29, 2025	227.20	237.71	222.92	227.94	227.94	5,385,638,692
Jan 28, 2025	235.07	243.89	225.26	227.20	227.20	5,105,320,114
Jan 27, 2025	240.89	242.43	221.98	235.07	235.07	10,736,630,238
Jan 26, 2025	256.07	259.63	240.85	240.88	240.88	4,178,231,600
Jan 25, 2025	253.37	260.58	246.66	256.07	256.07	5,035,419,721
Jan 24, 2025	253.46	269.81	247.63	253.36	253.36	7,483,041,553
Jan 23, 2025	257.24	258.13	242.50	253.46	253.46	9,264,528,949
Jan 22, 2025	250.41	271.53	248.75	257.24	257.24	8,880,832,578
Jan 21, 2025	242.24	259.83	231.68	250.41	250.41	10,694,802,909
Jan 20, 2025	250.62	272.15	231.63	242.25	242.25	22,690,757,561
Jan 19, 2025	261.87	294.33	239.61	250.59	250.59	33,172,955,667
Jan 18, 2025	219.62	268.75	217.58	261.87	261.87	23,186,958,912
Jan 17, 2025	211.23	221.85	209.97	219.62	219.62	5,118,230,275
Jan 16, 2025	205.92	216.84	198.66	211.23	211.23	6,099,125,467
Jan 15, 2025	187.50	205.93	186.00	205.91	205.91	4,071,481,523
Jan 14, 2025	182.83	189.94	181.96	187.50	187.50	2,748,310,371
Jan 13, 2025	188.55	191.78	170.63	182.84	182.84	5,225,490,858
Jan 12, 2025	188.00	190.75	185.25	188.56	188.56	1,544,086,708
Jan 11, 2025	187.57	191.72	184.28	188.00	188.00	2,174,290,937
Jan 10, 2025	185.01	192.76	183.87	187.58	187.58	3,739,014,100
Jan 9, 2025	197.56	198.90	182.32	185.03	185.03	3,815,664,216
Jan 8, 2025	202.23	203.06	188.96	197.56	197.56	5,028,291,858
Jan 7, 2025	218.41	219.14	202.12	202.23	202.23	4,360,983,978
Jan 6, 2025	213.39	222.95	211.65	218.72	218.72	3,408,034,919
Jan 5, 2025	216.62	218.88	211.77	213.39	213.39	2,403,765,299
Jan 4, 2025	217.75	217.91	213.83	216.62	216.62	2,432,220,391
Jan 3, 2025	207.77	219.56	205.65	217.75	217.75	4,064,420,852
Jan 2, 2025	193.87	209.07	193.26	207.77	207.77	4,230,329,837
Jan 1, 2025	189.27	194.82	187.88	193.87	193.87	2,324,231,668
Dec 31, 2024	191.05	198.68	187.98	189.26	189.26	3,276,526,561
Dec 30, 2024	189.74	196.12	185.94	191.03	191.03	3,246,300,054
Dec 29, 2024	195.02	197.18	188.34	189.74	189.74	2,165,753,102
Dec 28, 2024	183.83	195.44	183.83	195.01	195.01	2,158,687,217
Dec 27, 2024	188.22	193.75	182.95	183.83	183.83	2,788,285,851
Dec 26, 2024	197.48	199.40	186.86	188.22	188.22	2,864,701,219
Dec 25, 2024	196.99	201.63	195.35	197.48	197.48	2,688,415,733
Dec 24, 2024	189.75	198.70	186.12	196.99	196.99	3,412,375,255
Dec 23, 2024	180.17	193.05	176.72	189.75	189.75	4,922,594,345
Dec 22, 2024	181.29	187.53	177.13	180.17	180.17	4,001,292,417
Dec 21, 2024	194.21	201.63	178.74	181.30	181.30	5,368,845,730
Dec 20, 2024	194.28	199.36	175.91	194.21	194.21	9,600,073,165
Dec 19, 2024	206.38	212.00	188.03	194.28	194.28	8,043,974,299
Dec 18, 2024	222.82	225.89	205.00	206.38	206.38	6,888,988,933
Dec 17, 2024	216.33	228.69	211.91	222.82	222.82	6,445,051,900
Dec 16, 2024	223.66	227.04	213.48	216.33	216.33	5,071,129,914
Dec 15, 2024	219.84	225.07	215.91	223.66	223.66	2,969,473,030
Dec 14, 2024	224.84	227.24	215.34	219.84	219.84	2,925,240,730
Dec 13, 2024	227.03	228.27	220.82	224.84	224.84	4,029,626,623
Dec 12, 2024	227.45	234.33	225.95	227.03	227.03	4,935,392,005
Dec 11, 2024	213.84	230.51	211.99	227.45	227.45	5,615,074,058
Dec 10, 2024	217.33	220.74	203.72	213.82	213.82	8,419,973,004
Dec 9, 2024	237.46	237.46	209.71	217.34	217.34	8,610,208,198
Dec 8, 2024	239.49	241.44	233.71	236.67	236.67	3,204,778,349
Dec 7, 2024	237.05	243.12	234.66	238.55	238.55	4,003,422,914
Dec 6, 2024	236.54	246.42	231.43	237.05	237.05	6,726,557,034
Dec 5, 2024	229.12	244.68	223.46	234.00	234.00	8,820,663,279
Dec 4, 2024	234.20	240.72	225.25	229.12	229.12	6,569,129,896
Dec 3, 2024	225.77	239.27	216.47	234.20	234.20	8,404,095,315
Dec 2, 2024	237.07	237.88	220.55	225.76	225.76	7,374,176,295
Dec 1, 2024	237.74	239.81	234.53	237.07	237.07	3,726,118,866
Nov 30, 2024	243.55	245.24	237.72	237.74	237.74	3,549,156,564
Nov 29, 2024	237.76	246.78	236.82	243.55	243.55	4,152,396,835
Nov 28, 2024	242.30	245.20	233.20	237.76	237.76	4,047,310,070
Nov 27, 2024	230.97	243.12	228.13	242.30	242.30	5,381,404,312
Nov 26, 2024	234.45	239.64	222.96	230.98	230.98	6,996,936,265
Nov 25, 2024	252.92	256.42	231.55	234.45	234.45	6,616,015,635
Nov 24, 2024	255.18	259.63	243.12	252.92	252.92	5,330,146,683
Nov 23, 2024	256.52	263.83	253.19	255.18	255.18	6,234,742,858
Nov 22, 2024	257.08	263.70	252.14	256.52	256.52	7,249,493,783
Nov 21, 2024	235.43	259.05	230.34	257.07	257.07	10,735,314,060
Nov 20, 2024	238.09	242.11	230.91	235.42	235.42	6,454,141,445
Nov 19, 2024	239.80	247.09	234.15	238.10	238.10	6,711,919,414
Nov 18, 2024	237.58	248.19	234.40	239.79	239.79	8,798,714,213
Nov 17, 2024	215.85	241.24	212.73	237.58	237.58	9,981,076,722
Nov 16, 2024	218.57	221.66	213.80	215.85	215.85	4,698,955,745
Nov 15, 2024	209.24	219.54	204.83	218.09	218.09	6,109,860,311
Nov 14, 2024	215.18	222.64	207.50	209.22	209.22	8,094,554,275
Nov 13, 2024	212.21	220.34	201.47	215.18	215.18	11,296,665,808
Nov 12, 2024	222.64	225.01	205.45	212.23	212.23	11,308,516,682
Nov 11, 2024	210.61	223.22	204.56	222.64	222.64	10,290,809,023
Nov 10, 2024	200.20	215.18	198.98	210.61	210.61	8,564,655,765
Nov 9, 2024	199.94	203.35	195.47	200.19	200.19	3,363,617,004
Nov 8, 2024	196.33	204.97	196.02	199.94	199.94	5,673,142,495
Nov 7, 2024	186.95	197.90	186.14	196.33	196.33	4,700,842,780
Nov 6, 2024	166.72	189.92	166.70	186.95	186.95	9,822,932,731
Nov 5, 2024	157.75	169.13	156.99	166.72	166.72	3,243,848,057
Nov 4, 2024	162.55	164.71	155.17	157.75	157.75	2,809,006,700
Nov 3, 2024	166.01	166.38	158.14	162.55	162.55	2,645,801,646
Nov 2, 2024	166.26	168.46	162.39	166.01	166.01	1,618,170,398
Nov 1, 2024	168.43	173.85	164.03	166.26	166.26	3,157,093,060
Oct 31, 2024	174.93	176.28	167.58	168.43	168.43	2,652,620,406
Oct 30, 2024	179.36	181.15	173.40	174.92	174.92	2,772,422,773
Oct 29, 2024	178.10	183.04	176.86	179.36	179.36	3,919,545,873
Oct 28, 2024	176.55	179.41	172.87	178.10	178.10	3,623,055,701
Oct 27, 2024	170.71	177.90	170.19	176.55	176.55	2,427,933,420
Oct 26, 2024	164.76	172.82	162.44	170.71	170.71	2,755,373,492
Oct 25, 2024	177.16	177.19	160.04	164.76	164.76	4,869,966,180
