Date,Open,High,Low,Close,Adj Close,Volume
2025-04-11,112.81,122.4,112.19,121.53,121.53,3953610468
2025-04-10,119.06,119.08,108.6,112.8,112.8,4310698523
2025-04-09,105.51,120.47,101.43,119.06,119.06,7096350476
2025-04-08,106.91,112.3,103.14,105.51,105.51,5353641480
2025-04-07,105.71,111.47,96.59,106.9,106.9,8644174246
2025-04-06,120.26,120.93,104.0,105.71,105.71,3822458629
2025-04-05,122.79,122.79,117.19,120.26,120.26,1667996329
2025-04-04,117.06,123.9,113.6,122.79,122.79,5182517335
2025-04-03,117.75,120.79,112.48,117.06,117.06,4633002432
2025-04-02,126.68,135.7,117.74,117.76,117.76,5399672438
2025-04-01,124.7,130.03,123.95,126.68,126.68,2993289339
2025-03-31,124.64,127.7,123.08,124.69,124.69,3206702485
2025-03-30,124.59,126.62,123.3,124.64,124.64,1639017444
2025-03-29,129.42,130.38,123.07,124.59,124.59,2253256988
2025-03-28,138.35,138.95,127.98,129.42,129.42,3532896573
2025-03-27,137.29,140.17,135.92,138.35,138.35,2660348034
2025-03-26,143.82,145.37,136.14,137.29,137.29,3083070981
2025-03-25,140.87,147.06,138.35,143.82,143.82,3585353324
2025-03-24,132.6,144.88,132.16,140.87,140.87,4207560020
2025-03-23,128.48,133.96,128.34,132.6,132.6,1711242607
2025-03-22,128.43,131.58,127.93,128.48,128.48,1442831196
2025-03-21,127.5,129.96,124.98,128.43,128.43,2370317364
2025-03-20,135.57,135.77,126.85,127.5,127.5,2469659459
2025-03-19,125.31,135.93,124.3,135.57,135.57,3539287974
2025-03-18,128.16,128.16,121.94,125.31,125.31,2534317858
2025-03-17,125.99,130.53,125.86,128.16,128.16,2487364373
2025-03-16,135.92,136.47,125.39,125.99,125.99,2456569508
2025-03-15,133.31,136.48,132.56,135.91,135.91,1844463215
2025-03-14,123.29,135.64,123.12,133.31,133.31,3161542602
2025-03-13,126.58,128.16,120.91,123.29,123.29,2871050068
2025-03-12,125.26,130.66,121.37,126.58,126.58,4112201839
2025-03-11,118.29,128.15,113.19,125.26,125.26,5259428587
2025-03-10,126.44,131.24,115.92,118.29,118.29,5519806938
2025-03-09,136.94,139.73,125.94,126.44,126.44,3429886567
2025-03-08,139.21,140.9,135.48,136.94,136.94,2270939562
2025-03-07,143.36,150.02,135.72,139.21,139.21,6090751623
2025-03-06,146.27,152.78,142.78,143.36,143.36,4204376336
2025-03-05,144.92,149.49,140.6,146.27,146.27,4501939048
2025-03-04,142.03,146.4,131.57,144.92,144.92,8035056091
2025-03-03,178.5,178.63,139.79,142.02,142.02,9241009702
2025-03-02,143.68,178.51,140.3,178.5,178.5,11540413390
2025-03-01,148.03,150.79,138.68,143.68,143.68,3305410077
2025-02-28,137.62,148.18,125.74,148.03,148.03,7544673033
2025-02-27,134.83,142.18,134.73,137.62,137.62,3723520943
2025-02-26,144.1,144.87,130.69,134.83,134.83,4916419994
2025-02-25,141.99,146.74,132.49,144.11,144.11,9341433919
2025-02-24,168.04,169.56,140.57,141.99,141.99,7062261489
2025-02-23,172.16,173.04,166.63,168.04,168.04,1621130854
2025-02-22,168.89,174.47,168.37,172.16,172.16,2026581266
2025-02-21,176.04,180.43,167.31,168.89,168.89,4684370707
2025-02-20,169.01,176.59,167.87,176.05,176.05,3347070717
2025-02-19,169.09,174.12,163.96,169.01,169.01,3717681436
2025-02-18,177.69,178.95,161.31,169.08,169.08,6684824301
2025-02-17,188.49,189.51,175.26,177.69,177.69,4345262539
2025-02-16,194.48,196.07,186.98,188.49,188.49,2160799161
2025-02-15,199.89,200.05,192.81,194.48,194.48,1869221857
2025-02-14,194.45,205.13,194.35,199.94,199.94,3732334277
2025-02-13,196.77,198.26,189.43,194.46,194.46,2755407329
2025-02-12,197.98,198.45,189.61,196.77,196.77,4290836657
2025-02-11,200.36,205.92,195.32,197.98,197.98,3907611299
2025-02-10,200.5,208.83,196.38,200.36,200.36,4106376694
2025-02-09,199.59,207.27,194.24,200.5,200.5,3380872965
2025-02-08,192.2,200.83,190.13,199.6,199.6,2387525186
2025-02-07,189.76,203.15,188.48,192.2,192.2,4593806344
2025-02-06,195.99,203.89,188.17,189.77,189.77,3936545265
2025-02-05,207.08,209.32,195.39,195.99,195.99,3826498437
2025-02-04,216.15,220.0,202.85,207.09,207.09,7328632702
2025-02-03,203.12,218.65,180.41,216.15,216.15,15260840772
2025-02-02,213.78,218.38,195.45,203.12,203.12,8432593480
2025-02-01,231.64,233.86,213.44,213.79,213.79,3546350864
2025-01-31,239.02,241.67,228.48,231.64,231.64,4043216055
2025-01-30,227.95,244.33,227.14,239.02,239.02,4636567306
2025-01-29,227.2,237.71,222.92,227.94,227.94,5385638692
2025-01-28,235.07,243.89,225.26,227.2,227.2,5105320114
2025-01-27,240.89,242.43,221.98,235.07,235.07,10736630238
2025-01-26,256.07,259.63,240.85,240.88,240.88,4178231600
2025-01-25,253.37,260.58,246.66,256.07,256.07,5035419721
2025-01-24,253.46,269.81,247.63,253.36,253.36,7483041553
2025-01-23,257.24,258.13,242.5,253.46,253.46,9264528949
2025-01-22,250.41,271.53,248.75,257.24,257.24,8880832578
2025-01-21,242.24,259.83,231.68,250.41,250.41,10694802909
2025-01-20,250.62,272.15,231.63,242.25,242.25,22690757561
2025-01-19,261.87,294.33,239.61,250.59,250.59,33172955667
2025-01-18,219.62,268.75,217.58,261.87,261.87,23186958912
2025-01-17,211.23,221.85,209.97,219.62,219.62,5118230275
2025-01-16,205.92,216.84,198.66,211.23,211.23,6099125467
2025-01-15,187.5,205.93,186.0,205.91,205.91,4071481523
2025-01-14,182.83,189.94,181.96,187.5,187.5,2748310371
2025-01-13,188.55,191.78,170.63,182.84,182.84,5225490858
2025-01-12,188.0,190.75,185.25,188.56,188.56,1544086708
2025-01-11,187.57,191.72,184.28,188.0,188.0,2174290937
2025-01-10,185.01,192.76,183.87,187.58,187.58,3739014100
2025-01-09,197.56,198.9,182.32,185.03,185.03,3815664216
2025-01-08,202.23,203.06,188.96,197.56,197.56,5028291858
2025-01-07,218.41,219.14,202.12,202.23,202.23,4360983978
2025-01-06,213.39,222.95,211.65,218.72,218.72,3408034919
2025-01-05,216.62,218.88,211.77,213.39,213.39,2403765299
2025-01-04,217.75,217.91,213.83,216.62,216.62,2432220391
2025-01-03,207.77,219.56,205.65,217.75,217.75,4064420852
2025-01-02,193.87,209.07,193.26,207.77,207.77,4230329837
2025-01-01,189.27,194.82,187.88,193.87,193.87,2324231668
2024-12-31,191.05,198.68,187.98,189.26,189.26,3276526561
2024-12-30,189.74,196.12,185.94,191.03,191.03,3246300054
2024-12-29,195.02,197.18,188.34,189.74,189.74,2165753102
2024-12-28,183.83,195.44,183.83,195.01,195.01,2158687217
2024-12-27,188.22,193.75,182.95,183.83,183.83,2788285851
2024-12-26,197.48,199.4,186.86,188.22,188.22,2864701219
2024-12-25,196.99,201.63,195.35,197.48,197.48,2688415733
2024-12-24,189.75,198.7,186.12,196.99,196.99,3412375255
2024-12-23,180.17,193.05,176.72,189.75,189.75,4922594345
2024-12-22,181.29,187.53,177.13,180.17,180.17,4001292417
2024-12-21,194.21,201.63,178.74,181.3,181.3,5368845730
2024-12-20,194.28,199.36,175.91,194.21,194.21,9600073165
2024-12-19,206.38,212.0,188.03,194.28,194.28,8043974299
2024-12-18,222.82,225.89,205.0,206.38,206.38,6888988933
2024-12-17,216.33,228.69,211.91,222.82,222.82,6445051900
2024-12-16,223.66,227.04,213.48,216.33,216.33,5071129914
2024-12-15,219.84,225.07,215.91,223.66,223.66,2969473030
2024-12-14,224.84,227.24,215.34,219.84,219.84,2925240730
2024-12-13,227.03,228.27,220.82,224.84,224.84,4029626623
2024-12-12,227.45,234.33,225.95,227.03,227.03,4935392005
2024-12-11,213.84,230.51,211.99,227.45,227.45,5615074058
2024-12-10,217.33,220.74,203.72,213.82,213.82,8419973004
2024-12-09,237.46,237.46,209.71,217.34,217.34,8610208198
2024-12-08,239.49,241.44,233.71,236.67,236.67,3204778349
2024-12-07,237.05,243.12,234.66,238.55,238.55,4003422914
2024-12-06,236.54,246.42,231.43,237.05,237.05,6726557034
2024-12-05,229.12,244.68,223.46,234.0,234.0,8820663279
2024-12-04,234.2,240.72,225.25,229.12,229.12,6569129896
2024-12-03,225.77,239.27,216.47,234.2,234.2,8404095315
2024-12-02,237.07,237.88,220.55,225.76,225.76,7374176295
2024-12-01,237.74,239.81,234.53,237.07,237.07,3726118866
2024-11-30,243.55,245.24,237.72,237.74,237.74,3549156564
2024-11-29,237.76,246.78,236.82,243.55,243.55,4152396835
